Report flow stats +1400.000000ms, Current measuring time +100.000000ms
	Flow 1 (14.0.0.5:2123 -> 14.0.0.6:2123) proto UDP
		Tx Packets: 30
		Tx Bytes:   6990
		TxOffered:  0.055920 Mbps
		Rx Packets: 0
		Rx Bytes:   0
		RxDuration: 0.000000 s
		Throughput: 0.000000 Mbps
		Mean delay: +0.000000ms 
		Last packet delay: +0.000000ms 
		Mean jitter: +0.000000ms
	Flow 2 (10.0.2.2:49153 -> 7.0.0.2:1234) proto UDP
		Tx Packets: 2000
		Tx Bytes:   1256000
		TxOffered:  10.048000 Mbps
		Rx Packets: 920
		Rx Bytes:   577760
		RxDuration: 1.000000 s
		Throughput: 4.622080 Mbps
		Mean delay: +18.527949ms 
		Last packet delay: +18.171427ms 
		Mean jitter: +1.056522ms
	Flow 3 (10.0.2.2:49154 -> 7.0.0.3:1234) proto UDP
		Tx Packets: 2000
		Tx Bytes:   1256000
		TxOffered:  10.048000 Mbps
		Rx Packets: 483
		Rx Bytes:   303324
		RxDuration: 1.000000 s
		Throughput: 2.426592 Mbps
		Mean delay: +34.183627ms 
		Last packet delay: +34.707141ms 
		Mean jitter: +1.456965ms
	Flow 4 (10.0.2.2:49155 -> 7.0.0.4:1234) proto UDP
		Tx Packets: 2000
		Tx Bytes:   1256000
		TxOffered:  10.048000 Mbps
		Rx Packets: 920
		Rx Bytes:   577760
		RxDuration: 1.000000 s
		Throughput: 4.622080 Mbps
		Mean delay: +18.599377ms 
		Last packet delay: +18.242855ms 
		Mean jitter: +1.056522ms
	Flow 5 (10.0.2.2:49156 -> 7.0.0.5:1234) proto UDP
		Tx Packets: 2000
		Tx Bytes:   1256000
		TxOffered:  10.048000 Mbps
		Rx Packets: 549
		Rx Bytes:   344772
		RxDuration: 1.000000 s
		Throughput: 2.758176 Mbps
		Mean delay: +30.222103ms 
		Last packet delay: +29.778569ms 
		Mean jitter: +1.563752ms
	Flow 6 (10.0.2.2:49157 -> 7.0.0.6:1234) proto UDP
		Tx Packets: 2000
		Tx Bytes:   1256000
		TxOffered:  10.048000 Mbps
		Rx Packets: 920
		Rx Bytes:   577760
		RxDuration: 1.000000 s
		Throughput: 4.622080 Mbps
		Mean delay: +18.670805ms 
		Last packet delay: +18.314283ms 
		Mean jitter: +1.056522ms
	Flow 7 (10.0.2.2:49158 -> 7.0.0.7:1234) proto UDP
		Tx Packets: 2000
		Tx Bytes:   1256000
		TxOffered:  10.048000 Mbps
		Rx Packets: 920
		Rx Bytes:   577760
		RxDuration: 1.000000 s
		Throughput: 4.622080 Mbps
		Mean delay: +18.706519ms 
		Last packet delay: +18.349997ms 
		Mean jitter: +1.056522ms
	Flow 8 (10.0.2.2:49159 -> 7.0.0.8:1234) proto UDP
		Tx Packets: 2000
		Tx Bytes:   1256000
		TxOffered:  10.048000 Mbps
		Rx Packets: 920
		Rx Bytes:   577760
		RxDuration: 1.000000 s
		Throughput: 4.622080 Mbps
		Mean delay: +18.742233ms 
		Last packet delay: +18.385711ms 
		Mean jitter: +1.056522ms
	Flow 9 (10.0.2.2:49160 -> 7.0.0.9:1234) proto UDP
		Tx Packets: 2000
		Tx Bytes:   1256000
		TxOffered:  10.048000 Mbps
		Rx Packets: 920
		Rx Bytes:   577760
		RxDuration: 1.000000 s
		Throughput: 4.622080 Mbps
		Mean delay: +18.777947ms 
		Last packet delay: +18.421425ms 
		Mean jitter: +1.056522ms
	Flow 10 (10.0.2.2:49161 -> 7.0.0.10:1234) proto UDP
		Tx Packets: 2000
		Tx Bytes:   1256000
		TxOffered:  10.048000 Mbps
		Rx Packets: 1596
		Rx Bytes:   1002288
		RxDuration: 1.000000 s
		Throughput: 8.018304 Mbps
		Mean delay: +13.157953ms 
		Last packet delay: +13.064281ms 
